link,titulo,texto
/br/content/ufrpe-promove-iii-simp%C3%B3sio-brasileiro-de-educa%C3%A7%C3%A3o-em-computa%C3%A7%C3%A3o-educomp,UFRPE promove III Simpósio Brasileiro de Educação em Computação (EduComp),"A Universidade Federal Rural de Pernambuco (UFRPE) é a instituição organizadora do III Simpósio Brasileiro de Educação em Computação (EduComp), que acontece entre os dias 24 e 29 de abril de 2023 de forma totalmente remota.
Realizado pela Sociedade Brasileira de Computação (SBC), neste ano, o EduComp tem como tema O legado do ensino remoto na Educação em Computação.
O evento congrega pesquisadores e educadores da área de Educação em Computação com o objetivo de compartilhar novas ideias e resultados sobre a concepção, desenvolvimento e avaliação de cursos, currículos, disciplinas, projetos, atividades, ferramentas e materiais relacionados ao ensino e à aprendizagem de computação."
/br/content/prpg-e-editora-universit%C3%A1ria-firmam-parceria,PRPG e Editora Universitária firmam parceria,
/br/content/editora-implementa-processo-inovador-na-encaderna%C3%A7%C3%A3o-de-capa-dura,Editora implementa processo inovador na encadernação de capa dura,
/br/content/live-de-lan%C3%A7amento-dos-editais-de-sele%C3%A7%C3%A3o-do-programa-brafagri-ser%C3%A1-em-2702,Live de lançamento dos editais de seleção do Programa BRAFAGRI será em 27/02,"O Núcleo de Internacionalização do Instituto IPÊ/UFRPE divulga a live de lançamento dos editais de seleção do Programa BRAFAGRI, que será realizado no dia 27 de fevereiro de 2023, às 19h, no Canal do YouTube da UFRPE e Instituto Ipê."
/br/content/professor-da-universit%C3%A0-di-firenze-it%C3%A1lia-ministra-disciplina-no-ppg-em-zootecnia,Professor da Università di Firenze (Itália) ministra disciplina no PPG em Zootecnia,
/br/content/ufrpe-recebe-terceira-fase-da-olimp%C3%ADada-brasileira-de-f%C3%ADsica,UFRPE recebe terceira fase da Olimpíada Brasileira de Física,"No próximo sábado (11/02/2023), a partir das 09 da manhã, o Departamento de Física da UFRPE, sediará no Centro de Ensino de Graduação em Exatas e da Natureza (CEGEN), a terceira e última fase da Olimpíada Brasileira de Física (OBF). Esta atividade concentrará mais de 140 estudantes de ensino médio e fundamental de várias escolas do nosso estado, os quais participarão, em dois turnos, de uma prova experimental de 3 horas (09:00 - 12:00), e outra teórica, que terá uma duração de 4 horas (13:30 – 17:30). Os estudantes chegaram até esta fase depois de ter participado de duas etapas prévias com caráter classificatório, então, trata-se dos estudantes com os melhores desempenhos no estudo da física, nos seus respetivos níveis e colégios em nosso estado. Esta etapa da OBF é um passo importante para as aspirações dos estudantes de participar, representando o país em competições internacionais, daí a grande importância deste evento. O DF-UFRPE está à frente da coordenação estadual da OBF desde o ano de 2022, sucedendo ao departamento de Física da UFPE, que coordenava esta atividade anteriormente."
/br/content/reuni%C3%A3o-com-formandoas-e-docentes-sobre-cola%C3%A7%C3%A3o-de-grau-ocorre-no-dia-2302,Reunião com formando(a)s e docentes sobre colação de grau ocorre no dia 23/02,"A Universidade Federal Rural de Pernambuco (UFRPE) celebra, no dia 15 de março, às 17h, a Colação de Grau Unificada dos cursos de graduação do Campus Sede/Dois Irmãos e das Unidades Acadêmicas do Cabo de Santo Agostinho (UACSA) e de Educação a Distância (UAEADTec), referente ao segundo semestre de 2021, e 2º semestre de 2022, respectivamente."
/br/content/hospital-veterin%C3%A1rio-sem-agendamento-no-dia-1302,Hospital Veterinário sem agendamento no dia 13/02,"A equipe responsável pelo Hospital Veterinário Escola da UFRPE informa que o agendamento do dia 13/02, para consulta de clínica médica de pequenos animais, está suspenso, retornando no dia 27/02."
/br/content/ufrpe-d%C3%A1-in%C3%ADcio-sistema-inovador-de-gest%C3%A3o-com-o-programa-de-gest%C3%A3o-e-desempenho,UFRPE dá início a sistema inovador de gestão com o Programa de Gestão e Desempenho,"O futuro já começou por aqui. Foi dada a largada, nessa segunda-feira (6/02), no Programa de Gestão e Desempenho (PGD) da UFRPE, uma das prioridades da gestão superior para aprimorar a Universidade e adequá-la às novas demandas sociais e de trabalho."
/br/content/atividades-suspensas-nos-campi-da-rmr-durante-todo-o-dia-602,Atividades suspensas nos campi da RMR durante todo o dia (6/02),"A partir de novas informações da Associação Pernambucana de Águas e Clima (Apac) e da situação de alagamento em diversas localidades da Região Metropolitana do Recife, a UFRPE suspende todas as atividades presenciais desta segunda-feira (6/02) nos campi da RMR. À noite será emitido novo comunicado sobre a situação do dia seguinte.
O Restaurante Universitário funciona apenas das 11h às 13h para residentes e pessoas que já estejam na Universidade."
/br/content/suspensas-atividades-nos-campi-da-rmr-na-manh%C3%A3-desta-segunda-602,Suspensas as atividades nos campi da RMR na manhã desta segunda (6/02),"Diante do agravamento das chuvas durante a madrugada e início da manhã desta segunda-feira (6/02), a UFRPE suspende as atividades acadêmicas e administrativas da manhã nos campi da Região Metropolitana do Recife. Às 11h será divulgado novo informativo a partir do acompanhamento da situação."
/br/content/instituto-ip%C3%AA-divulga-resultado-final-do-pibic-em,Instituto Ipê divulga resultado final do PIbic-EM,"O Instituto IPÊ UFRPE, através da Coordenadoria de Gestão de Programas de Pesquisa e da Produção Científica e Tecnológica (CGPROD) do Núcleo de Pesquisa (NUPESQ), divulga à comunidade acadêmica o Resultado Final da Seleção do Edital NUPESQ/IPÊ 06/2022, referente à seleção para o Programa Institucional de Bolsas de Iniciação Científica para o Ensino Médio (PIBIC-EM 2023/2024)."
/br/content/peri%C3%B3dicos-da-ufrpe-s%C3%A3o-bem-avaliados-na-qualis-capes-2017-2020,Periódicos da UFRPE são bem avaliados na Qualis-Capes 2017-2020,"Em dezembro de 2022, foi publicada a avaliação quadrienal Qualis Capes 2017-2020 com a classificação dos periódicos no site da Plataforma Sucupira. O Sistema Integrado de Bibliotecas parabeniza todos os periódicos da UFRPE pelo bom desempenho na classificação."
/br/content/ap%C3%B3s-35-anos-egresso-retornar%C3%A1-%C3%A0-ufrpe-para-coopera%C3%A7%C3%A3o-cient%C3%ADfica,"Após 35 anos, egresso retornará à UFRPE para cooperação científica","O panamenho Anibal G. Armién, Médico Veterinário formado em 1988 pela UFRPE, retornará à instituição em junho de 2023, por meio de uma proposta de cooperação científica aprovada pelo Programa de Pós-Graduação em Medicina Veterinária no Programa CAPES-PRINT Professor Visitante do Exterior."
/br/content/errata-instituto-ip%C3%AA-divulga-resultado-do-pibic-em,[Errata] Instituto Ipê divulga resultado do Pibic-EM,"O Instituto IPÊ UFRPE, através da Coordenadoria de Gestão de Programas de Pesquisa e da Produção Científica e Tecnológica (CGPROD) do Núcleo de Pesquisa (NUPESQ), divulga a comunidade acadêmica o Resultado Final da Seleção do Edital NUPESQ/IPÊ 06/2022, referente à seleção para o Programa Institucional de Bolsas de Iniciação Científica Para o Ensino Médio (PIBIC-EM 2023/2024)."
/br/content/ufrpe-recebe-o-ix-lecid,UFRPE recebe o IX Lecid,
/br/content/professor-da-universidade-de-lisboa-ministra-disciplina-no-programa-de-p%C3%B3s-gradua%C3%A7%C3%A3o-em,Professor da Universidade de Lisboa ministra disciplina no Programa de Pós-Graduação em Zootecnia...,
