Texto;Links
Para o 5º(Quinto) periodo de Controle e Automação as materias das Segundas-Feiras são: Legislaçao para Eng., Eletronica de Potencia, Eletronica 2, Controladores Logicos Programaveis.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
Para o 5º(Quinto) periodo de Controle e Automação as materias das Terças-Feiras são: Servomecanismos, Proj. Inter. De Eletronica Industrial, Conv. Eletromecanica de Energia., Redes Industrais.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
Para o 5º(Quinto) periodo de Controle e Automação as materias das Quartas-Feiras são: Eletronica 2, Eletronica de Potencia.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
Para o 5º(Quinto) periodo de Controle e Automação as materias das Quintas-Feiras são: Servomecanismos, Controladores Logicos Programaveis, Conv. Eletromecanica de Energia., Redes Industrais.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
Para o 5º(Quinto) periodo de Controle e Automação as materias das Sextas-Feiras são: Não há materias.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
As máterias para o 1º Periodo de Controle e Automação são: Física 1, Cálculo 1, Inglês 1, Desenho Tecnico, Geometria Analítica, Programação 1, Metodologia Científica e Gestão Ambiental.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
As máterias para o 2º Periodo de Controle e Automação são: Física 2, Cálculo 2, Inglês 2, Álgebra Linear, Metodologia do Trabalho Científico, Quimica Geral, Sistemas Digitais..;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
As máterias para o 3º Periodo de Controle e Automação são: Física 3, Cálculo 3, Estatistica e Probabilidade, Sistemas Digitais, Calculo Numerico, Mecanica Geral, Circuitos Eletricos 1, Microcontroladores e Microprocessadores.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
As máterias para o 4º Periodo de Controle e Automação são: Inglês 3, Circuitos Eletricos 2, Sinais e Sistemas, Calculo 4, Eletronica 1, Segurança e Saude no Trabalho.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
As máterias para o 5º Periodo de Controle e Automação são: Legislação para Eng., Eletronica de Potencia, Eletronica 2, Controladores Logicos Programaveis, Redes Industriais, Projeto Interdisciplinar, Conversao Eletromecanica de Energia, Servomecanismos.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
materias = cadeiras.;
