Texto
"Bolsas de iniciação científica da UFRPE têm aumento a partir de abril de 2023 A gestão superior da UFRPE divulga, nesta quarta-feira (15/03), o aumento das bolsas de iniciação científica pagas pela Instituição a partir de abril. Com o aumento, as bolsas Pibiti, Piemp, Pibic e Pibic-AF passam de R$400 para R$700; e a Pibic-EM vai de R$100 para R$300. - para mais informaçoes acesse https://bityli.com/j1pmcy"
"PROGRAMA DE APOIO AO INGRESSANTE (PAI): concede bolsas aos calouros, ingressantes nos cursos de graduação presenciais em situação de vulnerabilidade socioeconômica, regularmente matriculados. Ao todo estão sendo ofertadas 350 bolsas, divididas entre as unidades Sede/Recife (100), Garanhuns (100), Serra Talhada (100) e Cabo de Santo Agostinho (50). Link de acesso: https://bityli.com/7b32X6"
PROGRAMA DE RESIDÊNCIA: o programa busca ocupar as vagas nas residências universitárias da UFRPE. Podem participar da seleção os alunos da graduação presencial que residam fora da Região Metropolitana do Recife (para as vagas da residência do campus Dois Irmãos); fora da zona urbana do município de Garanhuns (UAG); fora da zona urbana de Serra Talhada (UAST). Link de acesso: https://www.ufrpe.br/br/content/progest-divulga-editais-de-bolsas-de-assistência-estudantil	
PROGRAMA DE APOIO À GESTANTE (PAG): tem como objetivo da concessão de Auxílio Creche na UFRPE. O programa é voltado a alunas regularmente matriculadas em seus cursos que tenham concebido um filho (a) durante seus estudos na UFRPE. A criança deve ter entre 0 e 3 anos e 11 meses. A vigência do auxílio encerra quando a criança completar a idade máxima (3 anos e 11 meses). É preciso atender ao recorte socioeconômico (1,5 salários mínimos por membro da família). Link de acesso: https://www.ufrpe.br/br/content/progest-divulga-editais-de-bolsas-de-assistência-estudantil	
PROGRAMA DE APOIO AO DISCENTE (PAD): tem o objetivo de conceder bolsas a estudantes reconhecidamente em situação de vulnerabilidade socioeconômica durante a realização do curso de graduação. Ao todo estão sendo ofertadas 350 bolsas, divididas entre as unidades Sede/Recife (100), Garanhuns (100), Serra Talhada (100) e Cabo de Santo Agostinho (50). As bolsas são divididas nas modalidades Apoio Acadêmico, Transporte e Alimentação. Link de acesso: https://www.ufrpe.br/br/content/progest-divulga-editais-de-bolsas-de-assistência-estudantil
